Nutrient,FeatureSet,Model,Filter,R2,RMSE,MAE,MAPE,SMAPE,CV_R2_mean,CV_R2_std
Energy(kcal),ing_pred,Optimization,strict,-11.673436143168496,211.12436352491153,182.44893349352645,35.84360969547533,47.410070754209556,,
Total fat(g),ing_pred,Optimization,strict,-1.765869153241431,16.177004757409687,13.433576262650636,1133825133.078708,73.98296062395852,,
Protein(g),ing_pred,Optimization,strict,-1.5994825728621103,5.144457530386258,4.21155772909748,239551219.45309666,89.82781176952149,,
Carbohydrate(g),ing_pred,Optimization,strict,-13.881196445507662,35.5200002204253,30.76857045140183,51.21387550798173,80.04990979681085,,
Total sugar(g),ing_pred,Optimization,strict,-3.3478980170008557,12.998094080289507,9.30001940248232,16080704134.072832,147.48912911126675,,
Sodium(mg),ing_pred,Optimization,strict,-137.8371376624765,4100.643649422665,2029.9531375814183,772457078.7081017,134.53571545170996,,
Cholesterol(mg),ing_pred,Optimization,strict,-2.8951572169366138,5.0771217122621985,1.7255801246765057,15280780341.423279,37.326408641160235,,
Saturated fatty acids(g),ing_pred,Optimization,strict,-0.4681898270345686,4.09218541300752,2.651163669733608,2477139228.087568,87.99645281316688,,
Calcium(mg),ing_pred,Optimization,strict,-0.8222137035667645,94.21124362896303,54.23425969634248,158984555194.10333,144.2942962434077,,
Fiber(g),ing_pred,Optimization,strict,-1.4310119806483228,3.853105973135141,3.146468261823661,1280296658.0926967,110.05650201230475,,
Iron(mg),ing_pred,Optimization,strict,-1.1850441424075595,2.3555151829227032,1.5432721842776809,3078886601.749484,108.37334440745269,,
Calcium(mg),nut8,XGBoost,strict,0.998709662441924,3.925944379528597,0.4237844381981578,,76.17952645093482,0.9919852047329273,0.005573100706915524
Calcium(mg),nut8,XGBoost,all,0.9998980163825046,1.0625419365957947,0.24346812211912824,,79.79655836810818,0.9919852047329273,0.005573100706915524
Fiber(g),nut8,XGBoost,strict,0.9999755715614541,0.016669273938116947,0.0007911256033706594,,10.049962038542784,0.9973794874436148,0.0010947832105187437
Fiber(g),nut8,XGBoost,all,0.9999990657506923,0.003287495464372777,0.0002614350746706101,,10.252221412575082,0.9973794874436148,0.0010947832105187437
Iron(mg),nut8,XGBoost,strict,0.992002798718999,0.16874363122090225,0.013251720683360354,,43.454676784663086,0.995333463921055,0.0010643418245104529
Iron(mg),nut8,XGBoost,all,0.9999190867159473,0.017114408633421705,0.004893984996024005,,40.70224133608931,0.995333463921055,0.0010643418245104529
Calcium(mg),nut8+binary,XGBoost,strict,0.7745685108440717,51.89192278185652,30.343220642623244,,104.35730834359698,0.721042623127938,0.04019127429214964
Calcium(mg),nut8+binary,XGBoost,all,0.8467467994106895,41.18941748276107,26.315977639761574,,104.41762196503038,0.721042623127938,0.04019127429214964
Fiber(g),nut8+binary,XGBoost,strict,0.6829673350787646,1.8989819440868945,1.0964424615660653,,26.705526460906658,0.6204287153798181,0.010870025562972417
Fiber(g),nut8+binary,XGBoost,all,0.7503182775663082,1.6995233891667196,0.9620524448695493,,25.422974678216683,0.6204287153798181,0.010870025562972417
Iron(mg),nut8+binary,XGBoost,strict,0.6385836165640654,1.1343897532838891,0.6933137056021293,,64.58033992918942,0.6384275644124445,0.005588173991427118
Iron(mg),nut8+binary,XGBoost,all,0.7465290415802057,0.9578909861930287,0.6412548061976956,,60.94442345882229,0.6384275644124445,0.005588173991427118
Calcium(mg),nut8+score,XGBoost,strict,0.7800187349380733,51.26079305113072,30.200194509477473,,103.94508040703738,0.7250834367441977,0.046684028815291594
Calcium(mg),nut8+score,XGBoost,all,0.850467141697817,40.68639310461195,26.520097976680788,,104.26408208782452,0.7250834367441977,0.046684028815291594
Fiber(g),nut8+score,XGBoost,strict,0.6779957372002998,1.9138136168234314,1.0989594052518423,,26.531495093833772,0.6156943350529329,0.007075389618250334
Fiber(g),nut8+score,XGBoost,all,0.749010081722543,1.7039698596272994,0.9822404003580182,,25.599176205408458,0.6156943350529329,0.007075389618250334
Iron(mg),nut8+score,XGBoost,strict,0.6286963747870472,1.149801767234303,0.7092905905784537,,64.88022853158104,0.6304723962391958,0.007991558705787577
Iron(mg),nut8+score,XGBoost,all,0.7408754238301702,0.9685148531142027,0.6502018184494828,,61.00101452849048,0.6304723962391958,0.007991558705787577
Calcium(mg),nut8+umap_10,XGBoost,strict,0.8152153985306558,46.98133594009026,27.07453393517315,,102.9470540654,0.7790898940160358,0.020765796140862457
Calcium(mg),nut8+umap_10,XGBoost,all,0.8879883544164923,35.213765046692714,22.41868124355148,,102.16712821164906,0.7790898940160358,0.020765796140862457
Fiber(g),nut8+umap_10,XGBoost,strict,0.7276525136806906,1.760072329516037,1.0002781254333422,,25.664433109829375,0.6657916044466449,0.02388214225204125
Fiber(g),nut8+umap_10,XGBoost,all,0.8188100389429502,1.4477742092237704,0.8630927178356448,,24.288990828271846,0.6657916044466449,0.02388214225204125
Iron(mg),nut8+umap_10,XGBoost,strict,0.6738840155622481,1.0775673406163382,0.6470057120939907,,64.67774720767282,0.6881048344902018,0.0015476938838384002
Iron(mg),nut8+umap_10,XGBoost,all,0.8106260242968052,0.827965291540707,0.5613457331074788,,59.51016487552,0.6881048344902018,0.0015476938838384002
